timestamp,available_at,close,volume,realized_volatility,liquidity
2025-01-31T00:00:00Z,2025-01-31T00:00:00Z,105.77601717,1320392.32408175,0.01216108,3445511.34001799
2025-02-01T00:00:00Z,2025-02-01T00:00:00Z,106.23675985,1329482.65278446,0.01238114,3482875.30077358
2025-02-02T00:00:00Z,2025-02-02T00:00:00Z,106.71198378,1339500.32820966,0.01259649,3522099.52435635
2025-02-03T00:00:00Z,2025-02-03T00:00:00Z,107.19151397,1350495.92394521,0.01280448,3563066.94259027
2025-02-04T00:00:00Z,2025-02-04T00:00:00Z,107.66500377,1362500.08993996,0.01300255,3605612.17721007
2025-02-05T00:00:00Z,2025-02-05T00:00:00Z,108.12234736,1375522.92805766,0.01318826,3649526.12307790
2025-02-06T00:00:00Z,2025-02-06T00:00:00Z,108.55408258,1389553.78626684,0.01335932,3694561.74322624
2025-02-07T00:00:00Z,2025-02-07T00:00:00Z,108.95176822,1404561.47565977,0.01351360,3740440.91512608
2025-02-08T00:00:00Z,2025-02-08T00:00:00Z,109.30832052,1420494.90587898,0.01364923,3786862.13844578
2025-02-09T00:00:00Z,2025-02-09T00:00:00Z,109.61829557,1437284.12600564,0.01376451,3833508.89069175
2025-02-10T00:00:00Z,2025-02-10T00:00:00Z,109.87810635,1454841.74970312,0.01385803,3880058.39916615
2025-02-11T00:00:00Z,2025-02-11T00:00:00Z,110.08616572,1473064.73558069,0.01392863,3926190.58613999
2025-02-12T00:00:00Z,2025-02-12T00:00:00Z,110.24294972,1491836.48650514,0.01397545,3971596.93933908
2025-02-13T00:00:00Z,2025-02-13T00:00:00Z,110.35097858,1511029.22509005,0.01399791,4015989.06191032
2025-02-14T00:00:00Z,2025-02-14T00:00:00Z,110.41471623,1530506.59696570,0.01399573,4059106.66491849
2025-02-15T00:00:00Z,2025-02-15T00:00:00Z,110.44039235,1550126.44879195,0.01396893,4100724.78087332
2025-02-16T00:00:00Z,2025-02-16T00:00:00Z,110.43575403,1569743.72441637,0.01391785,4140659.99837423
2025-02-17T00:00:00Z,2025-02-17T00:00:00Z,110.40975689,1589213.42017275,0.01384312,4178775.54508905
2025-02-18T00:00:00Z,2025-02-18T00:00:00Z,110.37220805,1608393.53911020,0.01374565,4214985.07819900
2025-02-19T00:00:00Z,2025-02-19T00:00:00Z,110.33337518,1627147.98396512,0.01362666,4249255.07726364
2025-02-20T00:00:00Z,2025-02-20T00:00:00Z,110.30357713,1645349.32993594,0.01348760,4281605.77319081
2025-02-21T00:00:00Z,2025-02-21T00:00:00Z,110.29277256,1662881.42076964,0.01333020,4312110.58756663
2025-02-22T00:00:00Z,2025-02-22T00:00:00Z,110.31016291,1679641.73526875,0.01315640,4340894.09788364
2025-02-23T00:00:00Z,2025-02-23T00:00:00Z,110.36382559,1695543.47600484,0.01296833,4368128.58505791
2025-02-24T00:00:00Z,2025-02-24T00:00:00Z,110.46039195,1710517.33768409,0.01276832,4394029.25891548
2025-02-25T00:00:00Z,2025-02-25T00:00:00Z,110.60478290,1724512.91913728,0.01255883,4418848.29396692
2025-02-26T00:00:00Z,2025-02-26T00:00:00Z,110.80001273,1737499.75016691,0.01234245,4442867.84075976
2025-02-27T00:00:00Z,2025-02-27T00:00:00Z,111.04706895,1749467.91233117,0.01212185,4466392.20648883
2025-02-28T00:00:00Z,2025-02-28T00:00:00Z,111.34487292,1760428.24101709,0.01210025,4489739.42156767
2025-03-01T00:00:00Z,2025-03-01T00:00:00Z,111.69032283,1770412.10468603,0.01232112,4513232.42588088
2025-03-02T00:00:00Z,2025-03-02T00:00:00Z,112.07841739,1779470.76578896,0.01253803,4537190.11897772
2025-03-03T00:00:00Z,2025-03-03T00:00:00Z,112.50245521,1787674.33637198,0.01274830,4561918.52223774
2025-03-04T00:00:00Z,2025-03-04T00:00:00Z,112.95430193,1795110.34965007,0.01294935,4587702.29793595
2025-03-05T00:00:00Z,2025-03-05T00:00:00Z,113.42471457,1801881.97665090,0.01313868,4614796.86024437
2025-03-06T00:00:00Z,2025-03-06T00:00:00Z,113.90370996,1808105.92426209,0.01331397,4643421.29680198
2025-03-07T00:00:00Z,2025-03-07T00:00:00Z,114.38096277,1813910.05750584,0.01347306,4673752.29702133
2025-03-08T00:00:00Z,2025-03-08T00:00:00Z,114.84621715,1819430.79448363,0.01361398,4705919.25540001
2025-03-09T00:00:00Z,2025-03-09T00:00:00Z,115.28969557,1824810.32706481,0.01373499,4740000.68554145
2025-03-10T00:00:00Z,2025-03-10T00:00:00Z,115.70248866,1830193.72394357,0.01383461,4776022.04426530
2025-03-11T00:00:00Z,2025-03-11T00:00:00Z,116.07691036,1835725.97508492,0.01391160,4813955.02610892
2025-03-12T00:00:00Z,2025-03-12T00:00:00Z,116.40680437,1841549.03777464,0.01396502,4853718.34777181
2025-03-13T00:00:00Z,2025-03-13T00:00:00Z,116.68778956,1847798.94445553,0.01399420,4895180.00076344
2025-03-14T00:00:00Z,2025-03-14T00:00:00Z,116.91743465,1854603.03127324,0.01399878,4938160.90982535
2025-03-15T00:00:00Z,2025-03-15T00:00:00Z,117.09535511,1862077.34379597,0.01397872,4982439.89573997
2025-03-16T00:00:00Z,2025-03-16T00:00:00Z,117.22322852,1870324.27276256,0.01393425,5027759.80498900
2025-03-17T00:00:00Z,2025-03-17T00:00:00Z,117.30472769,1879430.46802682,0.01386592,5073834.63638692
2025-03-18T00:00:00Z,2025-03-18T00:00:00Z,117.34537419,1889465.07319865,0.01377459,5120357.46718542
2025-03-19T00:00:00Z,2025-03-19T00:00:00Z,117.35231830,1900478.31694806,0.01366137,5167008.95898826
2025-03-20T00:00:00Z,2025-03-20T00:00:00Z,117.33405386,1912500.48967246,0.01352765,5213466.20774773
2025-03-21T00:00:00Z,2025-03-21T00:00:00Z,117.30007975,1925541.32637587,0.01337510,5259411.69257786
2025-03-22T00:00:00Z,2025-03-22T00:00:00Z,117.26052109,1939589.80833301,0.01320559,5304542.07538121
2025-03-23T00:00:00Z,2025-03-23T00:00:00Z,117.22572569,1954614.38757908,0.01302121,5348576.60742039
2025-03-24T00:00:00Z,2025-03-24T00:00:00Z,117.20585142,1970563.62965155,0.01282424,5391264.90985861
2025-03-25T00:00:00Z,2025-03-25T00:00:00Z,117.21046131,1987367.26148913,0.01261710,5432393.91264275
2025-03-26T00:00:00Z,2025-03-26T00:00:00Z,117.24814230,2004937.60313849,0.01240235,5471793.75942813
2025-03-27T00:00:00Z,2025-03-27T00:00:00Z,117.32616286,2023171.35409998,0.01218263,5509342.51489864
2025-03-28T00:00:00Z,2025-03-28T00:00:00Z,117.45018326,2041951.69791817,0.01203933,5544969.54402556
2025-03-29T00:00:00Z,2025-03-29T00:00:00Z,117.62402991,2061150.68213951,0.01226081,5578657.46961406
2025-03-30T00:00:00Z,2025-03-30T00:00:00Z,117.84954281,2080631.82514892,0.01247907,5610442.65388673
2025-03-31T00:00:00Z,2025-03-31T00:00:00Z,118.12650215,2100252.89677516,0.01269143,5640414.19075776
2025-04-01T00:00:00Z,2025-04-01T00:00:00Z,118.45263717,2119868.81601424,0.01289526,5668711.43672551
2025-04-02T00:00:00Z,2025-04-02T00:00:00Z,118.82371658,2139334.60683420,0.01308804,5695520.14881100
2025-04-03T00:00:00Z,2025-04-03T00:00:00Z,119.23371733,2158508.35184133,0.01326741,5721067.33657390
2025-04-04T00:00:00Z,2025-04-04T00:00:00Z,119.67506469,2177254.08363115,0.01343115,5745614.97087471
2025-04-05T00:00:00Z,2025-04-05T00:00:00Z,120.13893424,2195444.55491754,0.01357723,5769452.72373565
2025-04-06T00:00:00Z,2025-04-06T00:00:00Z,120.61560367,2212963.83100263,0.01370387,5792889.94050441
2025-04-07T00:00:00Z,2025-04-07T00:00:00Z,121.09484037,2229709.65176998,0.01380949,5816247.06680043
